observation_id,organism,antibiotic,facility,region,month,tested_isolates,resistant_isolates,resistance_rate,previous_resistance_rate,resistance_change,rolling_mean,rolling_std,trend_slope,facility_count,reporting_volume,threshold_distance,target_risk
OBS-00021,Escherichia coli,Ciprofloxacin,Valley Health District,Metro Central,2026-01,72,36,49.9,34.8,15.1,37.3,8.6,4.71,2,363,9.9,1
OBS-00022,Klebsiella pneumoniae,Ceftriaxone,University Hospital Center,West District,2026-01,456,283,62.0,40.1,21.8,41.5,9.4,7.26,8,3795,27.0,1
OBS-00023,Staphylococcus aureus,Ampicillin,Valley Health District,Metro Central,2026-08,102,6,6.4,9.9,-3.6,7.7,2.2,-1.18,2,460,-33.6,0
OBS-00024,Escherichia coli,Meropenem,University Hospital Center,Metro North,2026-06,183,118,64.4,51.7,12.7,55.0,5.9,4.13,8,1730,24.4,1
OBS-00025,Escherichia coli,Ampicillin,Metro West Community Clinic,Metro Central,2025-10,135,78,57.5,31.7,25.8,35.1,10.5,9.06,1,306,17.5,1
OBS-00026,Staphylococcus aureus,Ciprofloxacin,University Hospital Center,West District,2025-10,311,131,42.0,39.0,3.0,38.3,2.8,1.56,7,2459,2.0,1
OBS-00027,Enterococcus faecium,Vancomycin,Metro West Community Clinic,West District,2025-12,343,114,33.3,36.1,-2.9,35.7,4.1,-1.36,4,1533,3.3,0
OBS-00028,Acinetobacter baumannii,Ciprofloxacin,Valley Health District,East District,2025-10,528,174,32.9,32.3,0.5,31.7,2.8,0.17,1,835,7.9,0
OBS-00029,Escherichia coli,Ceftriaxone,St. Jude General Hospital,Metro North,2025-11,280,124,44.2,29.1,15.2,30.5,8.0,5.26,2,816,4.2,1
OBS-00030,Acinetobacter baumannii,Ciprofloxacin,Metro West Community Clinic,Metro Central,2026-04,307,135,43.8,44.2,-0.4,43.6,1.2,-0.49,6,1996,18.8,0
OBS-00031,Pseudomonas aeruginosa,Ampicillin,University Hospital Center,East District,2026-05,114,31,27.4,31.5,-4.1,31.0,3.7,-0.84,6,738,-2.6,0
OBS-00032,Escherichia coli,Ciprofloxacin,Metro West Community Clinic,Metro North,2026-06,175,51,28.9,29.4,-0.5,27.1,1.9,0.31,5,1103,-11.1,0
OBS-00033,Pseudomonas aeruginosa,Colistin,University Hospital Center,West District,2026-06,581,177,30.4,29.2,1.2,29.8,3.0,0.54,5,2959,0.4,0
OBS-00034,Enterococcus faecium,Ciprofloxacin,University Hospital Center,East District,2025-11,199,60,30.0,26.8,3.2,27.7,3.8,0.58,2,587,-0.0,0
OBS-00035,Pseudomonas aeruginosa,Meropenem,Valley Health District,East District,2026-06,297,111,37.4,15.5,22.0,20.8,9.1,7.8,8,2452,7.4,1
OBS-00036,Escherichia coli,Colistin,University Hospital Center,East District,2025-12,477,21,4.3,25.4,-21.1,21.9,9.7,-6.66,8,4153,-35.7,0
OBS-00037,Klebsiella pneumoniae,Ceftriaxone,St. Jude General Hospital,East District,2026-07,480,246,51.3,35.5,15.7,37.6,7.0,5.2,3,1555,16.3,1
OBS-00038,Escherichia coli,Colistin,University Hospital Center,Metro North,2026-08,402,144,35.9,34.7,1.2,36.2,3.4,1.49,2,1140,-4.1,0
OBS-00039,Acinetobacter baumannii,Gentamicin,University Hospital Center,Metro North,2025-12,462,267,57.8,38.9,18.9,43.7,8.2,5.96,3,1448,32.8,1
OBS-00040,Staphylococcus aureus,Vancomycin,Valley Health District,Metro North,2026-02,150,45,30.2,30.5,-0.3,30.3,3.5,0.2,3,695,-9.8,0
OBS-00041,Klebsiella pneumoniae,Meropenem,North Suburbs Health Zone,East District,2026-02,268,65,24.4,29.5,-5.1,27.8,3.0,-1.36,4,1134,-10.6,0
OBS-00042,Pseudomonas aeruginosa,Vancomycin,St. Jude General Hospital,East District,2026-03,589,184,31.2,30.7,0.5,31.7,1.2,0.87,7,4342,1.2,0
OBS-00043,Pseudomonas aeruginosa,Meropenem,Metro West Community Clinic,East District,2025-10,484,105,21.7,25.5,-3.8,25.2,4.0,-1.04,2,1194,-8.3,0
OBS-00044,Acinetobacter baumannii,Ceftriaxone,St. Jude General Hospital,West District,2026-07,300,100,33.4,28.4,5.0,30.8,4.7,1.43,4,1272,8.4,0
OBS-00045,Acinetobacter baumannii,Gentamicin,Valley Health District,Metro North,2026-03,111,63,56.8,43.2,13.7,46.7,7.5,5.02,7,1167,31.8,1
OBS-00046,Enterococcus faecium,Vancomycin,St. Jude General Hospital,East District,2026-06,458,127,27.7,26.9,0.8,25.3,1.3,-0.33,5,2507,-2.3,0
OBS-00047,Klebsiella pneumoniae,Meropenem,North Suburbs Health Zone,West District,2026-08,348,117,33.6,33.1,0.5,36.7,1.7,-0.58,3,1301,-1.4,1
OBS-00048,Pseudomonas aeruginosa,Meropenem,North Suburbs Health Zone,East District,2026-05,492,109,22.2,21.7,0.5,20.4,2.4,0.03,8,4331,-7.8,0
OBS-00049,Enterococcus faecium,Meropenem,Valley Health District,Metro Central,2026-02,135,30,21.9,19.3,2.6,18.7,1.8,0.95,6,980,-8.1,0
OBS-00050,Klebsiella pneumoniae,Meropenem,St. Jude General Hospital,Metro Central,2026-01,114,78,68.5,61.9,6.7,65.3,5.8,2.56,8,1195,33.5,1
OBS-00051,Klebsiella pneumoniae,Gentamicin,Valley Health District,West District,2026-05,289,54,18.6,17.7,0.9,16.9,2.3,0.64,7,2148,-16.4,1
OBS-00052,Escherichia coli,Vancomycin,North Suburbs Health Zone,Metro North,2025-12,91,29,31.8,25.8,6.0,26.5,3.6,1.87,8,1063,-8.2,0
OBS-00053,Staphylococcus aureus,Meropenem,North Suburbs Health Zone,East District,2026-05,496,262,52.8,51.2,1.6,49.6,3.9,0.9,7,3603,12.8,0
OBS-00054,Pseudomonas aeruginosa,Vancomycin,University Hospital Center,East District,2026-06,284,97,34.0,28.0,6.0,27.2,3.6,2.74,8,2462,4.0,1
OBS-00055,Klebsiella pneumoniae,Colistin,Eastside Medical Center,East District,2026-06,181,88,48.4,50.7,-2.3,50.9,2.9,-0.46,2,489,13.4,0
OBS-00056,Enterococcus faecium,Meropenem,St. Jude General Hospital,West District,2026-04,595,130,21.8,24.8,-3.1,22.3,3.1,-1.08,6,3858,-8.2,0
OBS-00057,Staphylococcus aureus,Ampicillin,Metro West Community Clinic,Metro Central,2026-07,528,236,44.8,49.6,-4.8,48.0,3.5,-1.55,7,3749,4.8,0
OBS-00058,Staphylococcus aureus,Vancomycin,North Suburbs Health Zone,Metro North,2026-05,319,125,39.1,30.7,8.4,33.0,4.2,3.16,4,1549,-0.9,0
OBS-00059,Enterococcus faecium,Gentamicin,North Suburbs Health Zone,Metro North,2026-05,586,145,24.7,26.6,-1.9,26.3,4.0,-0.79,3,1821,-5.3,0
OBS-00060,Enterococcus faecium,Ciprofloxacin,St. Jude General Hospital,West District,2025-12,226,33,14.5,9.8,4.7,9.8,3.9,2.41,8,1883,-15.5,0
OBS-00061,Staphylococcus aureus,Colistin,Eastside Medical Center,West District,2026-02,298,91,30.4,28.2,2.3,29.1,1.8,0.52,7,2177,-9.6,0
OBS-00062,Escherichia coli,Colistin,University Hospital Center,Metro Central,2026-08,71,19,26.8,39.1,-12.3,35.9,7.3,-4.35,1,247,-13.2,0
OBS-00063,Klebsiella pneumoniae,Ampicillin,Valley Health District,Metro Central,2026-07,516,196,38.0,34.4,3.5,37.3,4.4,1.49,4,2245,3.0,1
OBS-00064,Acinetobacter baumannii,Gentamicin,Valley Health District,Metro Central,2025-12,150,90,60.2,44.3,15.9,48.3,8.5,5.02,5,1096,35.2,1
OBS-00065,Staphylococcus aureus,Ampicillin,Valley Health District,Metro North,2025-11,144,44,30.4,29.7,0.6,31.8,1.9,-0.04,4,780,-9.6,0
OBS-00066,Escherichia coli,Vancomycin,Metro West Community Clinic,Metro Central,2026-03,419,181,43.1,44.4,-1.3,43.5,3.7,-0.33,7,3018,3.1,0
OBS-00067,Staphylococcus aureus,Vancomycin,North Suburbs Health Zone,Metro Central,2026-04,510,234,45.9,45.7,0.3,46.7,2.0,-0.02,6,3188,5.9,0
OBS-00068,Enterococcus faecium,Colistin,Metro West Community Clinic,West District,2026-05,314,66,20.9,22.8,-1.9,25.3,2.7,-0.21,7,2413,-9.1,0
OBS-00069,Escherichia coli,Colistin,North Suburbs Health Zone,Metro North,2026-05,384,76,19.9,24.0,-4.0,24.9,4.3,-1.02,7,2752,-20.1,0
OBS-00070,Staphylococcus aureus,Meropenem,Eastside Medical Center,East District,2026-03,322,133,41.3,21.6,19.7,25.5,8.9,6.44,5,1944,1.3,1
OBS-00071,Enterococcus faecium,Ampicillin,North Suburbs Health Zone,Metro North,2026-09,542,183,33.8,31.4,2.3,33.9,1.9,0.86,8,4615,3.8,0
OBS-00072,Klebsiella pneumoniae,Ampicillin,Valley Health District,Metro North,2026-02,524,165,31.5,32.9,-1.4,33.0,1.5,-0.0,6,3477,-3.5,0
OBS-00073,Enterococcus faecium,Ceftriaxone,Eastside Medical Center,East District,2026-09,317,60,19.1,21.2,-2.1,22.8,1.8,-0.58,8,2742,-10.9,0
OBS-00074,Klebsiella pneumoniae,Colistin,St. Jude General Hospital,Metro North,2026-01,535,299,56.0,52.8,3.2,53.2,2.2,0.95,4,2331,21.0,0
OBS-00075,Acinetobacter baumannii,Ceftriaxone,Eastside Medical Center,Metro Central,2026-01,272,53,19.4,38.0,-18.6,34.7,9.3,-6.53,5,1594,-5.6,0
OBS-00076,Pseudomonas aeruginosa,Ciprofloxacin,St. Jude General Hospital,East District,2026-09,542,160,29.5,28.9,0.5,26.9,3.3,-0.17,3,1728,-0.5,0
OBS-00077,Staphylococcus aureus,Ampicillin,North Suburbs Health Zone,East District,2025-12,298,59,19.7,32.7,-13.0,30.1,6.8,-4.32,1,592,-20.3,0
OBS-00078,Acinetobacter baumannii,Gentamicin,Valley Health District,Metro Central,2025-12,351,169,48.3,43.0,5.3,45.5,3.9,2.25,3,1146,23.3,1
OBS-00079,Staphylococcus aureus,Ceftriaxone,Metro West Community Clinic,Metro North,2026-06,501,259,51.6,51.8,-0.2,53.2,2.5,-0.4,7,3783,11.6,0
OBS-00080,Staphylococcus aureus,Colistin,Metro West Community Clinic,Metro Central,2026-07,252,39,15.6,22.8,-7.2,20.6,4.9,-3.17,2,874,-24.4,0
OBS-00081,Klebsiella pneumoniae,Meropenem,University Hospital Center,Metro Central,2025-12,458,201,43.8,41.6,2.2,43.5,2.0,0.21,1,738,8.8,0
OBS-00082,Escherichia coli,Meropenem,Eastside Medical Center,East District,2026-09,112,57,51.0,46.7,4.3,46.8,5.0,1.55,8,1065,11.0,1
OBS-00083,Enterococcus faecium,Ceftriaxone,Valley Health District,Metro North,2026-04,597,105,17.6,16.2,1.4,16.4,3.6,0.42,2,1359,-12.4,0
OBS-00084,Klebsiella pneumoniae,Ciprofloxacin,St. Jude General Hospital,Metro North,2026-02,489,220,45.0,50.4,-5.4,48.4,2.8,-1.7,5,2558,10.0,0
OBS-00085,Staphylococcus aureus,Colistin,Metro West Community Clinic,West District,2026-05,80,31,39.1,33.6,5.5,35.2,5.3,1.65,2,431,-0.9,0
OBS-00086,Escherichia coli,Ciprofloxacin,University Hospital Center,Metro Central,2026-08,81,27,33.4,37.0,-3.5,36.1,4.6,-1.71,5,544,-6.6,0
OBS-00087,Pseudomonas aeruginosa,Meropenem,Metro West Community Clinic,West District,2026-08,133,44,33.2,29.3,3.9,32.4,3.1,1.43,8,1354,3.2,1
OBS-00088,Enterococcus faecium,Ciprofloxacin,University Hospital Center,East District,2026-04,335,83,24.6,19.0,5.6,20.3,4.2,1.93,8,3069,-5.4,0
OBS-00089,Acinetobacter baumannii,Ciprofloxacin,North Suburbs Health Zone,Metro Central,2026-03,371,198,53.3,49.5,3.8,50.5,3.2,1.52,5,1964,28.3,1
OBS-00090,Acinetobacter baumannii,Vancomycin,St. Jude General Hospital,West District,2026-04,232,113,48.5,51.7,-3.2,52.1,2.3,-1.76,1,547,23.5,0
OBS-00091,Enterococcus faecium,Ampicillin,St. Jude General Hospital,Metro North,2026-02,334,133,39.9,36.6,3.3,37.0,2.9,1.7,3,1276,9.9,1
OBS-00092,Escherichia coli,Gentamicin,Metro West Community Clinic,Metro North,2026-09,358,180,50.1,32.6,17.6,37.6,9.5,6.0,3,1406,10.1,1
OBS-00093,Escherichia coli,Ampicillin,St. Jude General Hospital,Metro North,2026-05,561,103,18.4,18.4,0.0,19.0,2.1,-0.01,5,2994,-21.6,0
OBS-00094,Staphylococcus aureus,Meropenem,North Suburbs Health Zone,Metro North,2026-04,560,216,38.6,43.5,-4.8,42.3,2.8,-1.63,4,2359,-1.4,0
OBS-00095,Staphylococcus aureus,Colistin,Metro West Community Clinic,East District,2025-10,345,108,31.3,34.4,-3.1,33.0,4.3,-1.46,5,2075,-8.7,0
OBS-00096,Klebsiella pneumoniae,Ampicillin,Metro West Community Clinic,West District,2026-03,596,343,57.6,58.6,-0.9,57.7,1.2,-0.49,6,3819,22.6,0
OBS-00097,Klebsiella pneumoniae,Gentamicin,University Hospital Center,West District,2026-01,84,25,30.1,32.7,-2.6,32.0,2.3,-1.28,7,800,-4.9,0
OBS-00098,Staphylococcus aureus,Ampicillin,Valley Health District,Metro North,2026-05,169,39,22.9,30.7,-7.8,29.0,5.7,-2.58,1,476,-17.1,0
OBS-00099,Escherichia coli,Vancomycin,North Suburbs Health Zone,Metro Central,2026-06,55,15,27.4,26.4,0.9,26.4,3.3,0.21,8,563,-12.6,0
OBS-00100,Klebsiella pneumoniae,Ciprofloxacin,North Suburbs Health Zone,East District,2026-03,122,40,32.9,30.6,2.2,30.3,2.9,0.24,7,1072,-2.1,0
OBS-00101,Staphylococcus aureus,Colistin,Valley Health District,West District,2026-06,110,18,16.8,11.8,5.0,15.3,2.6,1.57,1,280,-23.2,0
OBS-00102,Klebsiella pneumoniae,Gentamicin,St. Jude General Hospital,West District,2025-11,494,214,43.3,46.5,-3.3,45.9,3.4,-0.71,2,1123,8.3,0
OBS-00103,Escherichia coli,Colistin,St. Jude General Hospital,East District,2026-03,481,134,27.8,31.0,-3.1,27.9,2.6,-0.95,6,3010,-12.2,0
OBS-00104,Enterococcus faecium,Vancomycin,University Hospital Center,Metro North,2025-12,431,101,23.5,23.5,0.0,21.9,1.7,-0.26,2,1229,-6.5,0
OBS-00105,Acinetobacter baumannii,Meropenem,University Hospital Center,West District,2026-08,510,297,58.2,54.9,3.3,55.5,2.2,1.69,5,2730,33.2,1
OBS-00106,Staphylococcus aureus,Colistin,Valley Health District,Metro North,2025-11,393,245,62.2,58.5,3.8,58.6,2.5,1.9,8,3494,22.2,1
OBS-00107,Enterococcus faecium,Colistin,North Suburbs Health Zone,East District,2026-01,534,71,13.4,18.0,-4.6,18.5,3.4,-0.77,7,3842,-16.6,0
OBS-00108,Acinetobacter baumannii,Colistin,Valley Health District,East District,2025-10,321,125,38.9,38.3,0.6,37.9,1.4,0.1,7,2301,13.9,0
OBS-00109,Enterococcus faecium,Ciprofloxacin,Metro West Community Clinic,West District,2026-02,400,73,18.3,19.8,-1.5,18.6,1.8,-0.85,4,1762,-11.7,0
OBS-00110,Enterococcus faecium,Vancomycin,Valley Health District,Metro North,2026-08,80,6,7.6,5.0,2.6,6.1,4.0,0.83,2,368,-22.4,1
OBS-00111,Pseudomonas aeruginosa,Gentamicin,University Hospital Center,Metro Central,2026-02,465,108,23.2,20.4,2.8,21.7,4.3,0.54,6,2929,-6.8,0
OBS-00112,Pseudomonas aeruginosa,Ceftriaxone,Metro West Community Clinic,East District,2025-12,533,252,47.2,41.3,5.9,43.9,3.4,1.66,5,2866,17.2,1
OBS-00113,Escherichia coli,Ampicillin,St. Jude General Hospital,Metro North,2026-01,414,82,19.8,25.9,-6.1,22.2,3.2,-2.01,7,2994,-20.2,1
OBS-00114,Acinetobacter baumannii,Ciprofloxacin,North Suburbs Health Zone,East District,2026-08,430,111,25.7,22.8,3.0,21.6,3.1,1.11,5,2526,0.7,0
OBS-00115,Klebsiella pneumoniae,Ampicillin,St. Jude General Hospital,East District,2026-07,104,33,31.8,31.5,0.4,30.3,1.1,-0.02,4,791,-3.2,0
OBS-00116,Pseudomonas aeruginosa,Gentamicin,North Suburbs Health Zone,Metro Central,2025-12,78,18,23.0,20.2,2.9,22.4,3.4,1.28,1,283,-7.0,0
OBS-00117,Klebsiella pneumoniae,Ceftriaxone,University Hospital Center,West District,2026-05,593,63,10.7,13.3,-2.6,13.6,4.0,-0.95,6,3822,-24.3,0
OBS-00118,Staphylococcus aureus,Gentamicin,St. Jude General Hospital,West District,2026-07,326,106,32.5,32.0,0.5,32.9,3.2,0.8,7,2348,-7.5,0
OBS-00119,Staphylococcus aureus,Meropenem,Eastside Medical Center,Metro Central,2026-08,597,196,32.8,34.1,-1.2,33.1,1.7,-0.57,6,3962,-7.2,0
OBS-00120,Klebsiella pneumoniae,Ciprofloxacin,North Suburbs Health Zone,Metro Central,2026-08,61,29,47.3,43.4,3.8,40.9,4.5,1.41,4,319,12.3,1
OBS-00121,Klebsiella pneumoniae,Vancomycin,Metro West Community Clinic,Metro North,2025-11,261,127,48.8,50.0,-1.2,46.7,2.5,-0.8,4,1213,13.8,0
OBS-00122,Acinetobacter baumannii,Ciprofloxacin,Eastside Medical Center,Metro North,2025-12,218,100,45.8,48.5,-2.8,45.6,4.2,-0.93,5,1196,20.8,1
OBS-00123,Escherichia coli,Colistin,University Hospital Center,East District,2025-10,311,197,63.3,38.6,24.7,40.3,11.1,7.64,3,1009,23.3,1
OBS-00124,Escherichia coli,Ampicillin,North Suburbs Health Zone,East District,2026-06,502,214,42.5,41.2,1.4,40.8,3.0,0.85,2,1311,2.5,0
OBS-00125,Enterococcus faecium,Vancomycin,Valley Health District,East District,2026-05,102,25,24.2,25.7,-1.5,26.0,2.2,-0.17,1,397,-5.8,0
OBS-00126,Escherichia coli,Ampicillin,Valley Health District,West District,2025-11,369,47,12.7,25.2,-12.5,24.9,7.5,-4.01,2,1099,-27.3,0
OBS-00127,Acinetobacter baumannii,Ceftriaxone,Valley Health District,East District,2026-04,504,236,46.8,48.4,-1.6,47.7,3.5,-0.92,5,2828,21.8,0
OBS-00128,Enterococcus faecium,Ciprofloxacin,Valley Health District,Metro North,2026-04,273,54,19.8,21.6,-1.7,22.7,3.1,-0.18,8,2445,-10.2,0
OBS-00129,Staphylococcus aureus,Gentamicin,St. Jude General Hospital,East District,2026-04,301,126,41.7,35.0,6.8,35.2,3.7,1.77,6,2047,1.7,1
OBS-00130,Staphylococcus aureus,Ciprofloxacin,St. Jude General Hospital,Metro Central,2025-11,138,49,35.2,32.0,3.1,31.3,4.4,0.1,7,1206,-4.8,0
OBS-00131,Acinetobacter baumannii,Ceftriaxone,Metro West Community Clinic,East District,2026-08,460,170,37.1,40.8,-3.7,43.7,2.1,-1.18,2,1151,12.1,0
OBS-00132,Staphylococcus aureus,Vancomycin,Valley Health District,Metro Central,2026-02,400,215,53.7,51.4,2.3,52.2,2.0,0.94,5,2103,13.7,0
OBS-00133,Enterococcus faecium,Ampicillin,University Hospital Center,Metro Central,2026-03,157,71,45.0,40.1,4.9,43.4,5.0,1.43,6,1134,15.0,1
OBS-00134,Acinetobacter baumannii,Vancomycin,Metro West Community Clinic,Metro Central,2026-07,69,28,40.0,37.1,2.9,41.5,2.9,1.18,5,487,15.0,0
OBS-00135,Pseudomonas aeruginosa,Colistin,St. Jude General Hospital,Metro North,2025-12,111,25,22.4,23.7,-1.3,22.0,2.7,-1.1,7,899,-7.6,0
OBS-00136,Escherichia coli,Gentamicin,Metro West Community Clinic,Metro North,2026-04,504,237,47.0,30.2,16.9,34.5,8.7,5.03,7,3752,7.0,1
OBS-00137,Acinetobacter baumannii,Ceftriaxone,St. Jude General Hospital,Metro Central,2025-12,90,48,53.7,35.4,18.3,38.7,8.6,5.99,3,665,28.7,1
OBS-00138,Acinetobacter baumannii,Ampicillin,North Suburbs Health Zone,East District,2026-01,393,248,63.1,46.0,17.1,49.2,8.4,5.29,2,1056,38.1,1
OBS-00139,Acinetobacter baumannii,Gentamicin,Eastside Medical Center,Metro Central,2026-01,96,39,40.6,43.2,-2.6,42.4,4.4,0.16,7,725,15.6,0
OBS-00140,Klebsiella pneumoniae,Vancomycin,Eastside Medical Center,East District,2026-03,47,18,38.8,38.6,0.2,38.6,1.4,0.02,2,398,3.8,0
OBS-00141,Staphylococcus aureus,Ceftriaxone,Valley Health District,Metro North,2026-06,113,46,41.1,31.9,9.2,32.0,4.2,2.96,6,931,1.1,1
OBS-00142,Escherichia coli,Ampicillin,St. Jude General Hospital,East District,2026-07,454,159,35.0,44.0,-9.1,43.9,5.1,-3.5,7,3555,-5.0,0
OBS-00143,Escherichia coli,Colistin,University Hospital Center,West District,2026-09,130,45,34.8,33.6,1.2,33.5,3.8,-0.16,6,1053,-5.2,0
OBS-00144,Acinetobacter baumannii,Ampicillin,Metro West Community Clinic,Metro Central,2026-04,387,103,26.5,30.2,-3.7,32.1,2.2,-1.04,5,2098,1.5,0
OBS-00145,Acinetobacter baumannii,Gentamicin,St. Jude General Hospital,Metro North,2026-03,191,98,51.5,30.3,21.2,35.6,8.3,6.62,6,1316,26.5,1
OBS-00146,Klebsiella pneumoniae,Vancomycin,Valley Health District,Metro Central,2025-12,515,199,38.7,39.0,-0.3,39.7,1.5,-0.52,8,4458,3.7,0
OBS-00147,Acinetobacter baumannii,Gentamicin,Valley Health District,East District,2026-08,194,112,57.7,35.6,22.1,39.5,10.8,7.22,6,1439,32.7,1
OBS-00148,Pseudomonas aeruginosa,Ceftriaxone,St. Jude General Hospital,East District,2026-06,357,110,30.7,34.3,-3.6,34.5,2.9,-1.87,2,1000,0.7,0
OBS-00149,Pseudomonas aeruginosa,Ciprofloxacin,Valley Health District,Metro Central,2026-07,513,179,35.0,39.1,-4.1,37.1,3.3,-1.99,7,3938,5.0,0
OBS-00150,Escherichia coli,Ampicillin,Metro West Community Clinic,Metro North,2026-03,553,180,32.6,36.8,-4.3,38.6,3.8,-2.13,8,4551,-7.4,0
OBS-00151,Pseudomonas aeruginosa,Gentamicin,St. Jude General Hospital,Metro North,2025-10,488,118,24.2,20.6,3.6,21.3,4.2,1.05,4,2226,-5.8,0
OBS-00152,Pseudomonas aeruginosa,Colistin,Eastside Medical Center,West District,2026-04,93,24,25.8,24.5,1.3,22.2,3.0,0.18,6,931,-4.2,0
OBS-00153,Escherichia coli,Ceftriaxone,Valley Health District,West District,2026-02,193,101,52.3,28.7,23.7,33.4,9.6,8.04,5,1185,12.3,1
OBS-00154,Pseudomonas aeruginosa,Gentamicin,Valley Health District,West District,2025-12,357,50,14.1,12.0,2.1,15.4,3.8,0.99,2,1050,-15.9,0
OBS-00155,Klebsiella pneumoniae,Gentamicin,Valley Health District,Metro Central,2026-08,560,341,61.0,40.6,20.4,46.1,9.7,6.06,7,4155,26.0,1
OBS-00156,Pseudomonas aeruginosa,Vancomycin,North Suburbs Health Zone,Metro North,2026-01,198,25,12.8,14.8,-2.0,14.4,1.9,-0.81,3,683,-17.2,0
OBS-00157,Acinetobacter baumannii,Vancomycin,Metro West Community Clinic,Metro Central,2026-08,174,61,35.2,40.0,-4.8,39.9,3.5,-1.97,6,1399,10.2,0
OBS-00158,Enterococcus faecium,Vancomycin,Metro West Community Clinic,Metro North,2026-09,84,9,11.0,14.2,-3.2,15.1,3.4,-0.23,8,932,-19.0,0
OBS-00159,Staphylococcus aureus,Ceftriaxone,Eastside Medical Center,West District,2026-01,356,96,26.9,26.3,0.5,26.7,1.6,-0.06,4,1714,-13.1,0
OBS-00160,Enterococcus faecium,Ceftriaxone,North Suburbs Health Zone,West District,2026-02,554,195,35.1,26.0,9.2,27.7,4.9,2.93,7,4198,5.1,1
OBS-00161,Klebsiella pneumoniae,Vancomycin,Metro West Community Clinic,Metro North,2026-02,532,219,41.3,40.4,0.8,40.1,2.4,0.02,1,772,6.3,0
OBS-00162,Acinetobacter baumannii,Vancomycin,St. Jude General Hospital,East District,2025-11,319,188,58.8,56.1,2.7,55.8,3.9,0.46,3,1237,33.8,0
OBS-00163,Staphylococcus aureus,Ciprofloxacin,University Hospital Center,West District,2026-03,464,163,35.2,41.2,-6.0,41.7,3.1,-2.03,1,541,-4.8,0
